location,Habitat,ForC,IPCC
Asia conifer,Boreal,1.08,0.517
Europe conifer,Boreal,0.94,0.517
North America conifer,Boreal,0.89,0.517
Asia boreal mountain,Boreal,1.01,0.4935
Europe boreal mountain,Boreal,1.03,0.4935
North America boreal mountain,Boreal,0.87,0.4935
North America continental,Temperate,0.96,1.551
North America mountain,Temperate,0.95,1.457
South America mountain,Temperate,1.53,1.457
Europe oceanic,Temperate,1.62,1.081
New Zealand oceanic,Temperate,1.84,1.4664
North America oceanic,Temperate,1.57,2.961
South America oceanic,Temperate,2.15,2.961
Africa subtropical dry,Subtropical,0.7,1.128
North America subtropical dry,Subtropical,0.6,1.88
South America subtropical dry,Subtropical,1.54,1.88
Asia subtropical dry,Subtropical,0.94,2.82
Africa humid,Subtropical,1.78,1.175
Asia humid,Subtropical,2.08,1.175
North America humid,Subtropical,1.62,1.175
South America humid,Subtropical,1.56,1.175
Africa subtropical mountain,Subtropical,0.91,1.175
Asia subtropical mountain,Subtropical,1.17,1.175
North America subtropical mountain,Subtropical,1.21,1.175
South America subtropical mountain,Subtropical,1.01,1.175
Africa tropical dry,Tropical,1.71,1.833
Asia tropical dry,Tropical,2.4,1.833
North America tropical dry,Tropical,2,1.833
South America tropical dry,Tropical,1.88,1.833
Asia moist,Tropical,2.93,1.128
Africa moist,Tropical,2.67,1.363
North America moist,Tropical,3.4,2.444
South America moist,Tropical,3.37,2.444
Asia tropical mountain,Tropical,2.63,1.363
North America tropical mountain,Tropical,3.08,2.068
South America tropical mountain,Tropical,3.4,2.068
Africa tropical mountain,Tropical,2.95,2.585
Asia rainforest,Tropical,3.64,1.598
North America rainforest,Tropical,3.8,2.773
South America rainforest,Tropical,4.64,2.773
Africa rainforest,Tropical,4.55,3.572
